"title_data","paper_id","source","type","year","author1_data","keyword"
"Potential Pitfalls in Exploration and Production Applications of Machine Learning","          169523-MS ","          SPE ","          Conference Paper",2014,"Harris, Cole, Chevron Information Technology Company","'machine+learning'AND'production'"
"Mooring Integrity and Machine Learning","          27866-MS ","          OTC ","          Conference Paper",2017,"Prislin, Igor, BMT Scientific Marine Services Inc.","'machine+learning'AND'production'"
"Data Driven Production Forecasting Using Machine Learning","          180984-MS ","          SPE ","          Conference Paper",2016,"Cao, Q., Schlumberger","'machine+learning'AND'production'"
"Predicting ESP Lifespan With Machine Learning","          2669988-MS ","          URTEC ","          Conference Paper",2017,"Sneed, Jessamyn, Devon Energy Corporation","'machine+learning'AND'production'"
"Smart Condition Monitoring Using Machine Learning","          187936-MS ","          SPE ","          Conference Paper",2017,"Bangert, Patrick, algorithmica technologies Inc.","'machine+learning'AND'production'"
"Using Machine Learning to Create Data","          28587-MS ","          OTC ","          Conference Paper",2018,"Snøtun, Håkon, AGR Software","'machine+learning'AND'production'"
"Advanced Machine Learning Methods for Production Data Pattern Recognition","          167839-MS ","          SPE ","          Conference Paper",2014,"Subrahmanya, Niranjan, ExxonMobil Research and Engineering Company","'machine+learning'AND'production'"
"Selection of EOR/IOR Opportunities Based on Machine Learning","          78332-MS ","          SPE ","          Conference Paper",2002,"Alvarado, Vladimir, PDVSA Intevep","'machine+learning'AND'production'"
"A Machine Learning Approach to Studies of Recovery Efficiency","          22304-MS ","          SPE ","          Conference Paper",1991,"Brown, J.P., Ultimate Resources Inc.","'machine+learning'AND'production'"
"Predicting and Detecting Equipment Malfunctions Using Machine Learning","          28109-MS ","          OTC ","          Conference Paper",2017,"Bangert, Patrick, Algorithmica Technologies Inc.","'machine+learning'AND'production'"
"Machine Learning Applied to Optimize Duvernay Well Performance","          189823-MS ","          SPE ","          Conference Paper",2018,"Bowie, Braden, Apache Corporation","'machine+learning'AND'production'"
"Machine Learning Methods to Speed up Compositional Reservoir Simulation","          154505-MS ","          SPE ","          Conference Paper",2012,"Gaganis, Vassilis, Technical University of Crete","'machine+learning'AND'production'"
"Decline Curve Analysis for Production Forecasting Based on Machine Learning","          189205-MS ","          SPE ","          Conference Paper",2017,"Li, Yunan, Texas A&M University","'machine+learning'AND'production'"
"Using Machine Learning to Predict Production at a Peace River Thermal EOR Site","          182696-MS ","          SPE ","          Conference Paper",2017,"Martin, Eileen, Stanford University","'machine+learning'AND'production'"
"Predicting Sweet Spots in Shale Plays by DNA Fingerprinting and Machine Learning","          2671117-MS ","          URTEC ","          Conference Paper",2017,"Te Stroet, Chris, Biodentify","'machine+learning'AND'production'"
"Modeling Early Time Rate Decline in Unconventional Reservoirs Using Machine Learning Techniques","          188231-MS ","          SPE ","          Conference Paper",2017,"Vyas, Aditya, Texas A&M University","'machine+learning'AND'production'"
"A Machine Learning Approach to Optimize Shale Gas Supply Chain Networks","          187361-MS ","          SPE ","          Conference Paper",2017,"Asala, H. I., Louisiana State University","'machine+learning'AND'production'"
"Machine Learning as a Reliable Technology for Evaluating Time-Rate Performance of Unconventional Wells","          174784-MS ","          SPE ","          Conference Paper",2015,"Fulford, David S., Apache Corporation","'machine+learning'AND'production'"
"Infill Well Location Selection Procedures in Lost Hills Using Machine Learning","          190101-MS ","          SPE ","          Conference Paper",2018,"Kim, T. H., Chevron","'machine+learning'AND'production'"
"Detecting Failures and Optimizing Performance in Artificial Lift Using Machine Learning Models","          190090-MS ","          SPE ","          Conference Paper",2018,"Pennel, Mike, OspreyData Inc.","'machine+learning'AND'production'"
"Machine Learning Application for Wellbore Damage Removal in the Wilmington Field","          190037-MS ","          SPE ","          Conference Paper",2018,"Kellogg, R. P., California Resources Corporation","'machine+learning'AND'production'"
"EUR Assessment of Unconventional Assets Using Machine Learning and Distributed Computing Techniques","          2659996-MS ","          URTEC ","          Conference Paper",2017,"Guo, Zhenyu, Shell International Exploration & Production Inc.","'machine+learning'AND'production'"
"Removing complex land noise with modern pattern recognition using Machine Learning","          2017-W19-03 ","          SEG ","          Conference Paper",2017,"Stork, Christof, Land Seismic Noise Specialists","'machine+learning'AND'production'"
"Reservoir Uncertainty Analysis: The Trends from Probability to Algorithms and Machine Learning","          181049-MS ","          SPE ","          Conference Paper",2016,"Ani, Maureen, Robert Gordon University","'machine+learning'AND'production'"
"Prediction of PVT Properties in Crude Oil Using Machine Learning Techniques MLT","          185536-MS ","          SPE ","          Conference Paper",2017,"Ramirez, A. M., Universidad Nacional de Ingenieria","'machine+learning'AND'production'"
"Ensemble Machine Learning: The Latest Development in Computational Intelligence for Petroleum Reservoir Characterization","          168111-MS ","          SPE ","          Conference Paper",2013,"Anifowose, Fatai A., King Fahd University of Petroleum and Minerals","'machine+learning'AND'production'"
"Machine Learning Approach for Irregularity Detection in Dynamic Operating Conditions","          181435-MS ","          SPE ","          Conference Paper",2016,"Sidahmed, Mohamed, BP America Production Company","'machine+learning'AND'production'"
"Machine Learning Applied to Multiwell Test Analysis and Flow Rate Reconstruction","          175059-MS ","          SPE ","          Conference Paper",2015,"Tian, Chuan, Stanford University","'machine+learning'AND'production'"
"Machine Learning Leads Cost Effective Intelligent Fluid Design: Fluid Engineering Perspective","          180033-MS ","          SPE ","          Conference Paper",2016,"Shadravan, Arash, Reservoir Focus Llc","'machine+learning'AND'production'"
"Machine Learning-Based Optimization of Well Locations and WAG Parameters under Geologic Uncertainty","          190239-MS ","          SPE ","          Conference Paper",2018,"Nwachukwu, Azor, The University of Texas at Austin","'machine+learning'AND'production'"
"Inverse Modeling for Fluid System Characterization Through Machine Learning Algorithms","          180034-MS ","          SPE ","          Conference Paper",2016,"Tarrahi, Mohammadali, Shell","'machine+learning'AND'production'"
"Intelligent Tool to Design Fracturing, Drilling, Spacer and Cement Slurry Fluids Using Machine Learning Algorithms","          175238-MS ","          SPE ","          Conference Paper",2015,"Shadravan, Arash, ReservoirFocus","'machine+learning'AND'production'"
"Intelligent Cement Design: Utilizing Machine Learning Algorithms to Assure Effective Long-term Well Integrity","          440236-MS ","          CMTC ","          Conference Paper",2015,"Shadravan, Arash, ReservoirFocus LLC","'machine+learning'AND'production'"
"Assessment of Data-Driven, Machine Learning Techniques for Machinery Prognostics of Offshore Assets","          27577-MS ","          OTC ","          Conference Paper",2017,"Lu, Ping, American Bureau of Shipping","'machine+learning'AND'production'"
"Data-Based Smart Model for Real Time Liquid Loading Diagnostics in Marcellus Shale via Machine Learning","          189808-MS ","          SPE ","          Conference Paper",2018,"Ansari, Amir, Department of Petroleum and Natural Gas Engineering, West Virginia University","'machine+learning'AND'production'"
"Horizontal Shale Well EUR Determination Integrating Geology, Machine Learning, Pattern Recognition and MultiVariate Statistics Focused on the Permian Basin","          187494-MS ","          SPE ","          Conference Paper",2017,"Gaurav, Abhishek, Texas Standard Oil LLC","'machine+learning'AND'production'"
