"title_data","paper_id","source","type","year","author1_data"
"Reserve Technical Potential Management System: Key in Rehabilitation of Mature Field","          169835-MS ","          SPE ","          Conference Paper",2014,"Ruslan, M.,"
"Technical Potential: A Highly Effective Tool for National Oil Companies to Drive and Manage Business Plans – A Real Case Study at PETRONAS Malaysia","          187429-MS ","          SPE ","          Conference Paper",2017,"Gupta, Vipin Prakash, PETRONAS"
"Using Business Intelligent Tool to Gain Insight into Well Integrity, Surveillance and Production Data","          186415-MS ","          SPE ","          Conference Paper",2017,"Haris Hamzah, M, PETRONAS Carigali"
"Managed Pressure Drilling With Solids-Free Drilling Fluid Provides Cost-Efficient Drilling Solution for Subsea Carbonate Gas Development Wells","          164573-MS ","          SPE ","          Conference Paper",2013,"Sridharan, Prem Ananthan, Weatherford"
"Optimizing Number of Fractures in Horizontal Well","          174772-MS ","          SPE ","          Conference Paper",2015,"Guk, Vyacheslav, IHS Global"
"Intelligent Automation of Mature Field Development Process: Case Study From the Romashkinskoe Field Block","          21-1687 ","          WPC ","          Conference Paper",2014,"Zubarev, Victor, Tatneft OAO"
"Staying Ahead through Built-in Automated Approach for Well Modelling in Gas Fields","          186923-MS ","          SPE ","          Conference Paper",2017,"Baghdadi, F., PETRONAS Carigali"
"The Models of Sea Waves Energy Converters","          P-12-031 ","          ISOPE ","          Conference Paper",2012,"Chizhiumov, Sergey Demidovich, Komsomolsk-na-Amure State Technical University"
"The First Subsea Completion by an Operator in KN Field, Offshore Malaysia","          16697-MS ","          IPTC ","          Conference Paper",2013,"Mahadi, K., PETRONAS Carigali Sdn. Bhd."
"Case Studies of Optimizing the Artificial Lift Strategy for Reactivating Abandoned Wells in a Mature Field","          187363-MS ","          SPE ","          Conference Paper",2017,"Patron, Katherine Escobar, Schlumberger"
"Screening for EOR and Estimating Potential Incremental Oil Recovery on the Norwegian Continental Shelf","          190230-MS ","          SPE ","          Conference Paper",2018,"Smalley, P. C., Imperial College London"
"Success in Arresting Overall Field Decline and Increasing Oil Production in a Mature Field through Effective Production Enhancement Initiatives","          18733-MS ","          IPTC ","          Conference Paper",2016,"Zamanuri, A., Halliburton Bayan Petroleum Sdn. Bhd."
"Optimization of Surfactant Flooding in Tight Oil Reservoirs","          2696038-MS ","          URTEC ","          Conference Paper",2017,"Lotfollahi, Mohammad, The University of Texas at Austin"
"Surfactant Flooding: Technical and Economical Conditions To Succeed","          27824-MS ","          SPE ","          Conference Paper",1994,"Jakobsen, S.R., Petec A/S"
"An Innovative Approach for Tubing Integrity Monitoring With the Application of Electromagnetic Tool and Caliper Tool in Tandem","          18510-MS ","          IPTC ","          Conference Paper",2015,"Norintan Farina, Haziq, Dimension Bid (Malaysia) Sdn.Bhd"
"Improved Oil Recovery in Fractured Carbonate Reservoirs: Don't Give Induced Fractures A Chance!","          98386-MS ","          SPE ","          Conference Paper",2006,"Ligthelm, Dick Jacob, Shell Intl. E&P B.V."
"Enhancement Of Oil & Gas Production Using Integrated Network Analysis","          11638-MS ","          IPTC ","          Conference Paper",2007,"Li, K.J., Shell Global Solutions International"
"Selection Methodology for Screening Evaluation of Enhanced-Oil-Recovery Methods","          139222-MS ","          SPE ","          Conference Paper",2010,"Trujillo Portillo, Martha Liliana, Ecopetrol S.A."
"Review And Analysis Of Past And Ongoing Carbon Dioxide Injection Field Tests","          8832-MS ","          SPE ","          Conference Paper",1980,"Goodrich, John H., Gruy Federal, Inc."
"Slurrified Heavy Oil Reservoir Extraction (SHORE): A non-thermal, recovery method","          165498-MS ","          SPE ","          Conference Paper",2013,"Smith, Richard James, Imperial Oil Resources Ltd."
"Optimization of Geologic CO2 Storage in Heterogeneous Aquifers through Improved Sweep Efficiency","          139643-MS ","          SPE ","          Conference Paper",2010,"Shamshiri, Hossein, Texas A&M University"
"A Specific Way of Assessing Target Recovery Factor (Chalk Oil Fields)","          16925-MS ","          IPTC ","          Conference Paper",2013,"Horikx, J., Maersk Oil and Gas AS"
"[18]5 Management of Russian Research: Status, Problems and Prospects","          28281 ","          WPC ","          Conference Paper",1997,"Shafranik, Yu K., Ministry of Fuel and Energy, Russia"
"Experiences With Tunnel Boring Machines Driving Through Geological Fault Zones","          IS-1982-130 ","          ISRM ","          Conference Paper",1982,"Henneke, J., Mannesmann Demag Bergwerktechnik,"
"Fueling Our Future with Gas through End-to-End Integrated Optimisation of LNG Supplying Gas Fields","          186255-MS ","          SPE ","          Conference Paper",2017,"Chuah, S. M. M., Petronas Carigali Sdn. Bhd."
"Integrated Asset Modeling: Modernizing the Perspective for Short-Term Forecasting and Production Enhancements","          182496-MS ","          SPE ","          Conference Paper",2016,"Talabi, O. A., Schlumberger"
"Gas well Test Interpretation: Niger Delta Field Experience","          178298-MS ","          SPE ","          Conference Paper",2015,"Obeahon, P. P., Shell Petroleum Development Company (SPDC)"
"IMPROVED OIL RECOVERY TECHNOLOGY IN CHINA: STATUS & OUTLOOK","          18-0887 ","          WPC ","          Conference Paper",2005,"Shen, Ping Ping, Petrochina - Research Institute of Petroleum Exploration and Development (RIPED)"
"STRATEGY STUDY AND POTENTIALITY EVALUATION OF EOR FOR ONSHORE OIL FIELDS IN CHINA","          30136 ","          WPC ","          Conference Paper",2000,"Fangming, Pingping Yuan, Research Institute of Petroleum Exploration & Development, CNPC,Beijing 100083, China"
"Alternative Approachto Multi-Rate Testing","          178272-MS ","          SPE ","          Conference Paper",2015,"Obeahon, P. P., Shell Petroleum Development Company (SPDC)"
"NEW TECHNOLOGICAL APPROACH TO ENVIRONMENT PROTECTION DURING RECONNAISSANCE, PRODUCTION, CONSTRUCTION AND EXPLOITATION OF MARINE OIL & GAS OBJECTS","          30406 ","          WPC ","          Conference Paper",2000,"Dmitrievsky, A. N., Russian Academy of Sciences"
"Revival of Marginal Oil Field in East Malaysia S-C Field Success Revealed","          18971-MS ","          IPTC ","          Conference Paper",2016,"Mohsin, M Saiful, PETRONAS Carigali Sdn. Bhd."
"World Energy Beyond 2050","          77506-MS ","          SPE ","          Conference Paper",2002,"Skov, Arlie M.,"
"Risk-Based Candidate Selection Workflow Improve Acid Stimulation Success Ratio in Mature Field","          109278-MS ","          SPE ","          Conference Paper",2007,"Kartoatmodjo, Gayatri P., Schlumberger"
"EOR Advisor System: A Comprehensive Approach to EOR Selection","          17798-MS ","          IPTC ","          Conference Paper",2014,"Moreno, Jaime Eduardo, Schlumberger"
"Reservoir to Surface: An Effective Combination to Unlock Oil Reserves From Aging Reservoirs","          131990-MS ","          SPE ","          Conference Paper",2010,"Moreno, J., Schlumberger"
"Multirate Welltest Design - Niger Delta Field Experience","          189138-MS ","          SPE ","          Conference Paper",2017,"Ndukwe, Reginald, The Shell Petroleum Development Company of Nigeria Limited"
"The Performance of CSEM As a De-risking Tool In Oil And Gas Exploration","          2010-0675 ","          SEG ","          Conference Paper",2010,"Hesthammer, Jonny, Rocksource ASA & Department of Earth Science, University of Bergen"
"THE WORLD SUMMIT ON SUSTAINABLE DEVELOPMENT &endash; THE PETROLEUM INDUSTRY, PERSPECTIVE AND RESPONSE","          32007 ","          WPC ","          Conference Paper",2002,"Steensnaes, Einar, Norwegian Minister for Petroleum and Energy - Norway"
"Technology &endash; A Global Asset in the 21st Century","          28013 ","          WPC ","          Conference Paper",1997,"Jaffre, Philippe, Chairman and Chief Executive Officer, Elf Aquitaine"
"Impact of Improved Seismic Data in a Mature Carbonate Production Setting, Offshore Abu Dhabi, UAE","          137194-MS ","          SPE ","          Conference Paper",2010,"Shevchek, Zyg J., ZADCO Petroleum Co"
